Categories                      ,Product Code,JAN Code     ,Manufacturers               ,Product Name                                                                                                                                ,Product status     ,In-stock Date,Release Date  ,Pre-order Deadline,Number of Pieces                      ,Order Unit,Retail Price,Wholesale Price,URL
Capsule                         ,59179       ,4904790059179,Takaratomy Arts             ,"Kata Zun Fig. ""Beauty and the Beast"""                                                                                                    ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000059179
Capsule                         ,79920       ,4545782079920,Platz                       ,"1/64 Scale Mini Car Mono Collection Nissan Skyline GT-R V, Spec II R34"                                                                    ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,120 piecescarton = 6 bags × 20 pieces ,20        ,455         ,305            ,https://b2b.mile-stone.jp/en/products/000079920
Capsule                         ,57526       ,4904790057526,Takaratomy Arts             ,"""Jurassic World: Dominion"" Stand Figure"                                                                                                 ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,120 piecescarton = 6 bags × 20 pieces ,20        ,455         ,287            ,https://b2b.mile-stone.jp/en/products/000057526
Capsule                         ,606188      ,4530956606187,Medicom Toy                 ,Vinyl Artist Gacha Series 32 X X Okizari ni Sareta Omocha                                                                                   ,Pre-order          ,             ,Within 2022/9 ,2022-07-06        ,200 piecescarton = 10 bags × 20 pieces,20        ,455         ,355            ,https://b2b.mile-stone.jp/en/products/000606188
Capsule                         ,606201      ,4530956606200,Medicom Toy                 ,Vinyl Artist Gacha Series 32 Chibi Utsubo Kaeru                                                                                             ,Pre-order          ,             ,Within 2022/9 ,2022-07-06        ,200 piecescarton = 10 bags × 20 pieces,20        ,455         ,355            ,https://b2b.mile-stone.jp/en/products/000606201
Capsule                         ,606171      ,4530956606170,Medicom Toy                 ,Vinyl Artist Gacha Series 32 TIYOKO                                                                                                         ,Pre-order          ,             ,Within 2022/9 ,2022-07-06        ,200 piecescarton = 10 bags × 20 pieces,20        ,455         ,355            ,https://b2b.mile-stone.jp/en/products/000606171
Capsule                         ,606195      ,4530956606194,Medicom Toy                 ,Vinyl Artist Gacha Series 32 FUWADOKO co KAMURI                                                                                             ,Pre-order          ,             ,Within 2022/9 ,2022-07-06        ,200 piecescarton = 10 bags × 20 pieces,20        ,455         ,355            ,https://b2b.mile-stone.jp/en/products/000606195
Capsule                         ,859794      ,4571519859794,Fukuya                      ,"""Chainsaw Man"" Kapukko Friends"                                                                                                          ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,120 piecescarton = 4 bags × 30 pieces ,30        ,455         ,296            ,https://b2b.mile-stone.jp/en/products/000859794
Capsule                         ,162044      ,4580590162044,Good Smile Company          ,"Pocket-Maquette ""Blue Lock"" 01 Capsule"                                                                                                  ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,120 piecescarton = 4 bags × 30 pieces ,30        ,455         ,319            ,https://b2b.mile-stone.jp/en/products/000162044
Capsule                         ,897665      ,4904790897665,Takaratomy Arts             ,"POPSULE ""Jujutsu Kaisen"""                                                                                                                ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,120 piecescarton = 6 bags × 20 pieces ,20        ,455         ,287            ,https://b2b.mile-stone.jp/en/products/000897665
