"Maker ID","Maker name"
131       ,Movic
132       ,MTO
133       ,Musashiya
134       ,Mycom
360       ,Myethos
274       ,Native
330       ,Nauts
315       ,Neca
446       ,Nekoyome
485       ,Nekoyome
741       ,"NEO GATE"
470       ,NEONMAX
591       ,"Neutral Corporation"
137       ,"New Line"
355       ,"New Vision Toys"
138       ,NHK
550       ,Nijirushi
351       ,Nintendo
552       ,"Nintendo DREAM"
512       ,NOCTURNUS
433       ,"NonZero Studio"
139       ,"Now Production"
140       ,"Ohtsuka Kikaku "
141       ,"Okayama Figure Engineering"
337       ,Onda
143       ,"Ootsuka Kikaku"
456       ,"Orange Cat Industry"
356       ,"Orange Rouge"
284       ,"Orca Toys"
144       ,"Orchid Seed"
145       ,Organic
725       ,OSK
523       ,Other
414       ,"Our Treasure"
146       ,Pair-Dot
147       ,Panasonic
536       ,Partylook
239       ,"Penguin Parade"
149       ,"Phat Company"
253       ,"Phicen Limited"
150       ,"Pi Arts"
151       ,"Piccolo / Shueisha"
564       ,PIE
152       ,Pionesoft
153       ,Pit-Road
607       ,"Planet Ring Industry"
350       ,Plateado
154       ,Plato
469       ,Platz
155       ,"Platz , F-TOYS"
367       ,"Play Future"
312       ,"Play Imaginative"
156       ,"PLEASANT ANGELS"
157       ,Plex
441       ,PLM
231       ,Plum
480       ,Pokemon
549       ,POMMOP
230       ,PopBox
158       ,Popy
301       ,PremeJewel
297       ,Premico
613       ,"Premium DNA Toys"
294       ,"Prime 1 Studio"
226       ,"Produce 216"
748       ,PROOF
159       ,Proovy
481       ,PR_Production
310       ,PULCHRA
299       ,"Pure Style Doll"
232       ,Q-six
525       ,QINGCANG
295       ,QuesQ
324       ,Questioners
529       ,Rainbow
365       ,"RC Berg"
161       ,Re-Ment
715       ,Realize
516       ,Rement
436       ,"Reverse Studio"
332       ,Revolve
449       ,RIBOSE
163       ,"Rocket Company"
522       ,ROCKETTOYS
165       ,Romando
166       ,Run`a
227       ,Sakurado
376       ,"San-ei Boeki"
729       ,San-X
328       ,Sankei
605       ,"SB Creative"
168       ,Sega
170       ,Sekiguchi
243       ,Sentinel
234       ,"Seven Two"
431       ,Shine
468       ,shinryakuRobo
172       ,Shogakukan
514       ,"Shono Kikaku"
755       ,"Shouwa Note"
325       ,Shueisha
298       ,Sideshow
173       ,"SILVER BLITZ"
731       ,"SK Japan"
569       ,SK-Japan
174       ,Skynet(Aoshima)
276       ,Skytube
753       ,Smarprise
458       ,"Snail Shell Studio"
175       ,"SNK Playmore"
424       ,"Softbank Creative"
413       ,"Sol International"
463       ,Solarain
176       ,"Soldier Story"
177       ,"Solid Theater"
625       ,"SOUL WOLF"
504       ,soup
359       ,Souyokusha
248       ,"Spider Webs"
180       ,Spike
181       ,"Square Enix"
182       ,SSS
505       ,"Stand Stones"
420       ,"Star Ace Toys"
461       ,"Star Space"
183       ,Starfish
519       ,stepDREAM
372       ,"Storm Collectibles"
384       ,Stronger
308       ,"Studio Ghibli"
184       ,"Studio Half Eye"
353       ,Studio-Ren
608       ,STUDIO24
555       ,STYLE
186       ,Success
572       ,"Sun Arrow"
546       ,"Sun-Star Stationery"
547       ,"Sun-Star Stationery"
601       ,sun-ster
187       ,Sunrise
311       ,Suomalaistytto
467       ,"Super 7"
405       ,"Surfers Paradise"
338       ,"Surprise Next"
570       ,SUYATA
542       ,"SYNC INNOVATION"
428       ,"SynQ Lab"
267       ,"System Service"
188       ,TAAC
189       ,Taito
191       ,"Takara Tomy"
573       ,"Takara Tomy Arts"
560       ,Takarajimasha
734       ,Takaratomy
751       ,"Takaratomy Arts"
192       ,"Taki Corporation"
498       ,"Tama Kyu"
193       ,Tamiya
497       ,Tapioca
589       ,"TB Company"
195       ,"Techno Brain"
196       ,Tecmo
197       ,Terranez
313       ,Tetsurod
198       ,"THQ Japan"
273       ,Three-A
316       ,Threezero
438       ,"Tianwen Kadokawa"
269       ,"TK Holdings"
340       ,"TMS Entertainment"
